run, time in microseconds, throughput (GB/s)
0, 271011.822000, 0.247623
1, 270981.095000, 0.247651
2, 270996.637000, 0.247637
3, 270981.405000, 0.247651
4, 270991.311000, 0.247642
5, 270982.764000, 0.247650
6, 270985.359000, 0.247648
7, 270985.065000, 0.247648
8, 270953.644000, 0.247677
9, 270957.668000, 0.247673
10, 270993.192000, 0.247640
11, 270979.171000, 0.247653
12, 270982.067000, 0.247651
13, 270986.042000, 0.247647
14, 270982.605000, 0.247650
15, 270961.369000, 0.247669
16, 270983.297000, 0.247649
17, 270974.926000, 0.247657
18, 270995.050000, 0.247639
19, 270952.923000, 0.247677
20, 270933.091000, 0.247695
21, 270972.744000, 0.247659
22, 270974.167000, 0.247658
23, 270986.995000, 0.247646
24, 270965.463000, 0.247666
25, 270954.792000, 0.247676
26, 270995.942000, 0.247638
27, 270944.503000, 0.247685
28, 270970.956000, 0.247661
29, 270934.157000, 0.247694
30, 270986.261000, 0.247647
31, 270977.751000, 0.247655
32, 270969.820000, 0.247662
33, 270926.304000, 0.247702
34, 270948.564000, 0.247681
35, 270965.241000, 0.247666
36, 270904.188000, 0.247722
37, 270919.013000, 0.247708
38, 270917.947000, 0.247709
39, 270969.137000, 0.247662
40, 270903.790000, 0.247722
41, 270957.336000, 0.247673
42, 270952.867000, 0.247677
43, 270996.348000, 0.247638
44, 270992.428000, 0.247641
45, 270933.160000, 0.247695
46, 270995.707000, 0.247638
47, 270966.274000, 0.247665
48, 270989.101000, 0.247644
49, 270991.516000, 0.247642
50, 270868.787000, 0.247754
51, 270986.798000, 0.247646
52, 271486.568000, 0.247190
53, 270967.060000, 0.247664
54, 270916.748000, 0.247710
55, 270985.933000, 0.247647
56, 270975.306000, 0.247657
57, 270997.826000, 0.247636
58, 270974.575000, 0.247657
59, 270985.430000, 0.247647
60, 271003.169000, 0.247631
61, 270982.129000, 0.247651
62, 270982.214000, 0.247650
63, 270979.559000, 0.247653
64, 270990.218000, 0.247643
65, 270950.245000, 0.247680
66, 270984.921000, 0.247648
67, 270983.684000, 0.247649
68, 270988.374000, 0.247645
69, 270983.727000, 0.247649
70, 270964.770000, 0.247666
71, 270987.933000, 0.247645
72, 270986.954000, 0.247646
73, 270962.648000, 0.247668
74, 270953.651000, 0.247677
75, 270945.216000, 0.247684
76, 270896.896000, 0.247728
77, 270968.494000, 0.247663
78, 270970.856000, 0.247661
79, 270939.068000, 0.247690
80, 270967.488000, 0.247664
81, 270953.425000, 0.247677
82, 270948.303000, 0.247681
83, 270940.842000, 0.247688
84, 270901.862000, 0.247724
85, 270969.106000, 0.247662
86, 270994.767000, 0.247639
87, 270983.019000, 0.247650
88, 270915.509000, 0.247711
89, 270956.994000, 0.247673
90, 270965.319000, 0.247666
91, 270942.334000, 0.247687
92, 270999.994000, 0.247634
93, 270974.955000, 0.247657
94, 270994.110000, 0.247640
95, 270971.406000, 0.247660
96, 270974.119000, 0.247658
97, 270974.735000, 0.247657
98, 270975.085000, 0.247657
99, 270971.496000, 0.247660
