run, time in microseconds, throughput (GB/s)
0, 1601.611000, 10.475213
1, 1612.485000, 10.404572
2, 1583.638000, 10.594098
3, 1582.357000, 10.602674
4, 1579.071000, 10.624738
5, 1558.882000, 10.762339
6, 1580.166000, 10.617376
7, 1558.433000, 10.765439
8, 1537.951000, 10.908810
9, 1638.592000, 10.238800
10, 1577.888000, 10.632704
11, 1552.201000, 10.808662
12, 1596.031000, 10.511836
13, 1559.603000, 10.757363
14, 1700.708000, 9.864842
15, 1552.199000, 10.808676
16, 1564.690000, 10.722390
17, 1550.962000, 10.817297
18, 1580.164000, 10.617389
19, 1640.231000, 10.228569
20, 1575.115000, 10.651423
21, 1554.246000, 10.794441
22, 1572.924000, 10.666260
23, 1555.579000, 10.785191
24, 1661.724000, 10.096271
25, 1553.799000, 10.797546
26, 1576.819000, 10.639912
27, 1580.580000, 10.614595
28, 1580.323000, 10.616321
29, 1636.690000, 10.250699
30, 1581.833000, 10.606187
31, 1556.047000, 10.781947
32, 1579.368000, 10.622740
33, 1564.689000, 10.722397
34, 1653.886000, 10.144119
35, 1557.156000, 10.774268
36, 1814.023000, 9.248624
37, 1565.975000, 10.713591
38, 1649.556000, 10.170747
39, 1570.174000, 10.684941
40, 1646.330000, 10.190676
41, 1560.202000, 10.753233
42, 1652.107000, 10.155042
43, 1561.103000, 10.747027
44, 1659.709000, 10.108529
45, 1562.391000, 10.738167
46, 1645.490000, 10.195878
47, 1562.781000, 10.735488
48, 1651.593000, 10.158202
49, 1571.644000, 10.674947
50, 1646.299000, 10.190868
51, 1562.961000, 10.734251
52, 1649.021000, 10.174046
53, 1564.077000, 10.726592
54, 1651.517000, 10.158670
55, 1559.374000, 10.758943
56, 1685.738000, 9.952446
57, 1559.051000, 10.761172
58, 1665.275000, 10.074742
59, 1566.271000, 10.711567
60, 1650.960000, 10.162097
61, 1570.842000, 10.680397
62, 1646.528000, 10.189451
63, 1560.795000, 10.749148
64, 1684.746000, 9.958306
65, 1568.861000, 10.693883
66, 1653.223000, 10.148187
67, 1561.124000, 10.746882
68, 1649.707000, 10.169816
69, 1577.348000, 10.636344
70, 1650.357000, 10.165810
71, 1564.780000, 10.721773
72, 1644.523000, 10.201874
73, 1605.220000, 10.451661
74, 1659.807000, 10.107932
75, 1558.919000, 10.762083
76, 1700.753000, 9.864581
77, 1563.599000, 10.729871
78, 1649.000000, 10.174176
79, 1569.005000, 10.692902
80, 1650.619000, 10.164197
81, 1558.666000, 10.763830
82, 1653.294000, 10.147751
83, 1558.976000, 10.761690
84, 1699.173000, 9.873754
85, 1491.881000, 11.245680
86, 1644.398000, 10.202649
87, 1562.106000, 10.740126
88, 1668.118000, 10.057571
89, 1594.214000, 10.523817
90, 1646.095000, 10.192131
91, 1564.461000, 10.723959
92, 1645.790000, 10.194020
93, 1560.232000, 10.753026
94, 1654.623000, 10.139600
95, 1563.118000, 10.733173
96, 1649.454000, 10.171375
97, 1556.319000, 10.780062
98, 1654.446000, 10.140685
99, 1594.731000, 10.520405
