run, time in microseconds, throughput (GB/s)
0, 5524.876000, 0.189792
1, 5586.331000, 0.187704
2, 5588.246000, 0.187640
3, 5586.559000, 0.187696
4, 5528.504000, 0.189667
5, 5580.762000, 0.187891
6, 5680.702000, 0.184586
7, 5571.331000, 0.188209
8, 5585.778000, 0.187722
9, 5581.994000, 0.187850
10, 5592.372000, 0.187501
11, 5584.830000, 0.187754
12, 5669.125000, 0.184963
13, 5582.719000, 0.187825
14, 5586.920000, 0.187684
15, 5583.848000, 0.187787
16, 5586.086000, 0.187712
17, 5581.746000, 0.187858
18, 5678.867000, 0.184645
19, 5580.946000, 0.187885
20, 5585.770000, 0.187723
21, 5583.083000, 0.187813
22, 5588.108000, 0.187644
23, 5585.204000, 0.187742
24, 5596.714000, 0.187356
25, 5608.465000, 0.186963
26, 5587.707000, 0.187658
27, 5583.551000, 0.187797
28, 5586.277000, 0.187706
29, 5586.729000, 0.187691
30, 5673.861000, 0.184808
31, 5582.171000, 0.187844
32, 5585.277000, 0.187739
33, 5596.831000, 0.187352
34, 5625.657000, 0.186392
35, 5662.266000, 0.185187
36, 5688.974000, 0.184317
37, 5658.857000, 0.185298
38, 5668.943000, 0.184969
39, 5581.965000, 0.187851
40, 5666.956000, 0.185033
41, 5560.537000, 0.188575
42, 5663.458000, 0.185148
43, 5605.108000, 0.187075
44, 5626.881000, 0.186351
45, 5594.262000, 0.187438
46, 5677.512000, 0.184689
47, 5578.925000, 0.187953
48, 5669.161000, 0.184961
49, 5661.272000, 0.185219
50, 5664.139000, 0.185125
51, 5584.957000, 0.187750
52, 5664.838000, 0.185103
53, 5664.061000, 0.185128
54, 5668.554000, 0.184981
55, 5652.809000, 0.185496
56, 5665.781000, 0.185072
57, 5601.235000, 0.187204
58, 5666.984000, 0.185032
59, 5579.635000, 0.187929
60, 5674.576000, 0.184785
61, 5590.084000, 0.187578
62, 5668.511000, 0.184983
63, 5575.722000, 0.188061
64, 5665.794000, 0.185071
65, 5563.103000, 0.188488
66, 5662.624000, 0.185175
67, 5577.537000, 0.188000
68, 5651.669000, 0.185534
69, 5577.574000, 0.187999
70, 5677.339000, 0.184695
71, 5571.986000, 0.188187
72, 5674.865000, 0.184775
73, 5582.908000, 0.187819
74, 5667.570000, 0.185013
75, 5586.082000, 0.187712
76, 5652.165000, 0.185518
77, 5650.788000, 0.185563
78, 5662.260000, 0.185187
79, 5658.617000, 0.185306
80, 5660.259000, 0.185252
81, 5649.960000, 0.185590
82, 5580.523000, 0.187899
83, 5672.919000, 0.184839
84, 5700.109000, 0.183957
85, 5672.608000, 0.184849
86, 5668.308000, 0.184989
87, 5570.181000, 0.188248
88, 5659.140000, 0.185289
89, 5652.735000, 0.185499
90, 5672.392000, 0.184856
91, 5645.682000, 0.185731
92, 5645.619000, 0.185733
93, 5657.829000, 0.185332
94, 5667.423000, 0.185018
95, 5646.582000, 0.185701
96, 5669.654000, 0.184945
97, 5658.721000, 0.185303
98, 5576.612000, 0.188031
99, 5658.014000, 0.185326
