run, time in microseconds, throughput (GB/s)
0, 167.767000, 3.125096
1, 167.540000, 3.129330
2, 134.140000, 3.908513
3, 135.745000, 3.862301
4, 136.456000, 3.842176
5, 136.028000, 3.854265
6, 137.280000, 3.819114
7, 131.289000, 3.993389
8, 136.733000, 3.834393
9, 138.640000, 3.781650
10, 135.753000, 3.862073
11, 138.647000, 3.781459
12, 137.057000, 3.825328
13, 136.377000, 3.844402
14, 133.934000, 3.914525
15, 132.695000, 3.951076
16, 134.670000, 3.893131
17, 130.743000, 4.010066
18, 135.718000, 3.863069
19, 137.235000, 3.820367
20, 135.543000, 3.868057
21, 134.558000, 3.896372
22, 135.184000, 3.878329
23, 135.652000, 3.864949
24, 133.942000, 3.914291
25, 135.954000, 3.856363
26, 137.152000, 3.822678
27, 134.539000, 3.896922
28, 140.489000, 3.731879
29, 133.890000, 3.915811
30, 137.947000, 3.800648
31, 136.906000, 3.829547
32, 135.168000, 3.878788
33, 133.919000, 3.914964
34, 135.384000, 3.872599
35, 135.477000, 3.869941
36, 134.910000, 3.886206
37, 138.824000, 3.776638
38, 134.072000, 3.910496
39, 136.266000, 3.847534
40, 136.606000, 3.837957
41, 135.788000, 3.861078
42, 135.106000, 3.880568
43, 139.234000, 3.765517
44, 330.466000, 1.586511
45, 181.238000, 2.892815
46, 133.241000, 3.934885
47, 157.128000, 3.336694
48, 132.589000, 3.954235
49, 155.997000, 3.360885
50, 146.521000, 3.578245
51, 157.174000, 3.335717
52, 129.595000, 4.045588
53, 170.676000, 3.071832
54, 148.200000, 3.537706
55, 157.979000, 3.318720
56, 130.805000, 4.008165
57, 157.717000, 3.324233
58, 132.945000, 3.943646
59, 159.771000, 3.281497
60, 134.423000, 3.900285
61, 155.928000, 3.362372
62, 132.211000, 3.965540
63, 155.595000, 3.369568
64, 136.385000, 3.844176
65, 171.702000, 3.053476
66, 127.152000, 4.123317
67, 176.834000, 2.964860
68, 133.251000, 3.934590
69, 159.290000, 3.291406
70, 133.205000, 3.935948
71, 172.041000, 3.047460
72, 136.176000, 3.850076
73, 170.745000, 3.070591
74, 133.832000, 3.917509
75, 176.012000, 2.978706
76, 135.654000, 3.864892
77, 171.177000, 3.062841
78, 137.063000, 3.825161
79, 173.591000, 3.020249
80, 153.088000, 3.424749
81, 172.550000, 3.038470
82, 134.647000, 3.893796
83, 173.143000, 3.028064
84, 135.694000, 3.863752
85, 173.232000, 3.026508
86, 134.683000, 3.892756
87, 172.567000, 3.038171
88, 136.145000, 3.850953
89, 179.238000, 2.925094
90, 133.709000, 3.921112
91, 173.341000, 3.024605
92, 140.833000, 3.722764
93, 193.674000, 2.707064
94, 134.385000, 3.901388
95, 169.005000, 3.102204
96, 134.436000, 3.899908
97, 172.115000, 3.046149
98, 133.707000, 3.921171
99, 173.098000, 3.028851
