run, time in microseconds, throughput (GB/s)
0, 153.907000, 1.703262
1, 147.761000, 1.774108
2, 139.129000, 1.884179
3, 129.983000, 2.016756
4, 136.020000, 1.927246
5, 126.082000, 2.079155
6, 139.144000, 1.883976
7, 148.517000, 1.765077
8, 139.018000, 1.885684
9, 138.840000, 1.888101
10, 141.953000, 1.846696
11, 130.206000, 2.013302
12, 137.135000, 1.911576
13, 125.847000, 2.083037
14, 140.210000, 1.869653
15, 124.649000, 2.103057
16, 138.700000, 1.890007
17, 130.039000, 2.015888
18, 149.557000, 1.752803
19, 134.427000, 1.950084
20, 135.937000, 1.928423
21, 147.792000, 1.773736
22, 130.373000, 2.010723
23, 132.355000, 1.980613
24, 125.454000, 2.089563
25, 130.117000, 2.014679
26, 130.264000, 2.012406
27, 135.121000, 1.940069
28, 131.554000, 1.992672
29, 135.686000, 1.931990
30, 134.563000, 1.948114
31, 131.297000, 1.996573
32, 140.661000, 1.863658
33, 134.309000, 1.951798
34, 136.068000, 1.926566
35, 139.411000, 1.880368
36, 140.079000, 1.871401
37, 129.558000, 2.023372
38, 136.650000, 1.918361
39, 139.213000, 1.883043
40, 133.368000, 1.965569
41, 132.444000, 1.979282
42, 137.326000, 1.908917
43, 127.616000, 2.054162
44, 133.488000, 1.963802
45, 133.274000, 1.966955
46, 169.445000, 1.547074
47, 132.735000, 1.974943
48, 134.883000, 1.943492
49, 136.415000, 1.921666
50, 130.353000, 2.011032
51, 139.530000, 1.878764
52, 132.439000, 1.979357
53, 133.891000, 1.957891
54, 134.245000, 1.952728
55, 129.319000, 2.027111
56, 133.271000, 1.967000
57, 126.280000, 2.075895
58, 135.340000, 1.936929
59, 130.788000, 2.004343
60, 134.209000, 1.953252
61, 133.866000, 1.958257
62, 131.248000, 1.997318
63, 133.910000, 1.957613
64, 130.268000, 2.012344
65, 136.292000, 1.923400
66, 129.997000, 2.016539
67, 129.618000, 2.022435
68, 128.810000, 2.035121
69, 129.759000, 2.020238
70, 126.556000, 2.071368
71, 134.332000, 1.951464
72, 129.993000, 2.016601
73, 131.305000, 1.996451
74, 132.278000, 1.981766
75, 133.468000, 1.964096
76, 132.037000, 1.985383
77, 131.218000, 1.997775
78, 136.570000, 1.919485
79, 133.452000, 1.964332
80, 134.364000, 1.950999
81, 128.558000, 2.039111
82, 129.260000, 2.028037
83, 133.073000, 1.969926
84, 132.652000, 1.976178
85, 135.024000, 1.941462
86, 135.599000, 1.933230
87, 131.245000, 1.997364
88, 128.679000, 2.037193
89, 129.656000, 2.021842
90, 132.467000, 1.978938
91, 133.407000, 1.964994
92, 131.782000, 1.989225
93, 131.112000, 1.999390
94, 136.961000, 1.914005
95, 127.627000, 2.053985
96, 136.955000, 1.914089
97, 130.950000, 2.001863
98, 126.290000, 2.075730
99, 135.046000, 1.941146
