run, time in microseconds, throughput (GB/s)
0, 322.482000, 3.251580
1, 264.833000, 3.959386
2, 234.823000, 4.465389
3, 235.097000, 4.460185
4, 236.717000, 4.429661
5, 239.220000, 4.383312
6, 261.248000, 4.013719
7, 236.819000, 4.427753
8, 242.471000, 4.324542
9, 234.636000, 4.468948
10, 277.292000, 3.781487
11, 232.027000, 4.519198
12, 255.157000, 4.109533
13, 263.085000, 3.985693
14, 256.692000, 4.084958
15, 232.500000, 4.510004
16, 243.353000, 4.308868
17, 238.458000, 4.397319
18, 235.591000, 4.450832
19, 244.620000, 4.286551
20, 239.468000, 4.378773
21, 566.933000, 1.849559
22, 238.211000, 4.401879
23, 239.798000, 4.372747
24, 231.488000, 4.529721
25, 255.164000, 4.109420
26, 252.146000, 4.158607
27, 250.150000, 4.191789
28, 255.303000, 4.107182
29, 251.489000, 4.169471
30, 256.807000, 4.083129
31, 259.411000, 4.042142
32, 263.828000, 3.974468
33, 225.362000, 4.652852
34, 235.758000, 4.447679
35, 235.521000, 4.452155
36, 244.174000, 4.294380
37, 237.162000, 4.421349
38, 236.372000, 4.436126
39, 235.857000, 4.445813
40, 241.764000, 4.337188
41, 235.929000, 4.444456
42, 220.678000, 4.751611
43, 235.184000, 4.458535
44, 228.995000, 4.579034
45, 226.191000, 4.635799
46, 231.264000, 4.534108
47, 237.490000, 4.415243
48, 237.629000, 4.412660
49, 234.162000, 4.477994
50, 300.155000, 3.493448
51, 233.230000, 4.495888
52, 234.113000, 4.478931
53, 230.688000, 4.545429
54, 227.986000, 4.599300
55, 232.451000, 4.510955
56, 235.105000, 4.460033
57, 248.322000, 4.222646
58, 271.316000, 3.864778
59, 270.673000, 3.873959
60, 277.889000, 3.773363
61, 266.664000, 3.932199
62, 270.505000, 3.876365
63, 272.878000, 3.842655
64, 272.692000, 3.845276
65, 275.897000, 3.800607
66, 272.115000, 3.853430
67, 271.688000, 3.859486
68, 280.134000, 3.743123
69, 265.737000, 3.945916
70, 273.335000, 3.836230
71, 278.283000, 3.768020
72, 276.365000, 3.794171
73, 261.884000, 4.003971
74, 276.167000, 3.796891
75, 275.046000, 3.812366
76, 273.807000, 3.829617
77, 274.086000, 3.825719
78, 279.013000, 3.758162
79, 267.527000, 3.919515
80, 271.317000, 3.864763
81, 277.906000, 3.773132
82, 267.818000, 3.915256
83, 272.667000, 3.845629
84, 275.804000, 3.801888
85, 275.058000, 3.812200
86, 282.754000, 3.708439
87, 258.237000, 4.060518
88, 260.954000, 4.018241
89, 261.352000, 4.012122
90, 252.372000, 4.154882
91, 285.110000, 3.677795
92, 257.114000, 4.078253
93, 262.366000, 3.996615
94, 255.916000, 4.097344
95, 254.750000, 4.116098
96, 261.183000, 4.014718
97, 264.555000, 3.963546
98, 273.411000, 3.835164
99, 263.217000, 3.983694
