run, time in microseconds, throughput (GB/s)
0, 22.208000, 0.737752
1, 20.492000, 0.799532
2, 19.813000, 0.826932
3, 21.530000, 0.760985
4, 19.427000, 0.843362
5, 19.841000, 0.825765
6, 19.870000, 0.824560
7, 19.067000, 0.859286
8, 19.808000, 0.827141
9, 38.875000, 0.421453
10, 19.927000, 0.822201
11, 18.673000, 0.877417
12, 19.568000, 0.837285
13, 20.135000, 0.813707
14, 19.674000, 0.832774
15, 18.957000, 0.864272
16, 19.399000, 0.844580
17, 20.071000, 0.816302
18, 22.927000, 0.714616
19, 21.114000, 0.775978
20, 19.484000, 0.840895
21, 20.001000, 0.819159
22, 23.679000, 0.691921
23, 17.815000, 0.919674
24, 30.606000, 0.535320
25, 19.742000, 0.829906
26, 19.588000, 0.836430
27, 23.126000, 0.708467
28, 20.900000, 0.783923
29, 20.805000, 0.787503
30, 19.797000, 0.827600
31, 19.453000, 0.842235
32, 20.672000, 0.792570
33, 19.753000, 0.829444
34, 19.737000, 0.830116
35, 20.034000, 0.817810
36, 27.326000, 0.599575
37, 28.458000, 0.575726
38, 26.710000, 0.613403
39, 29.455000, 0.556238
40, 50.795000, 0.322551
41, 50.313000, 0.325641
42, 29.296000, 0.559257
43, 29.492000, 0.555540
44, 44.019000, 0.372203
45, 35.340000, 0.463611
46, 28.739000, 0.570096
47, 50.446000, 0.324783
48, 65.108000, 0.251643
49, 49.665000, 0.329890
50, 28.900000, 0.566920
51, 28.588000, 0.573108
52, 53.743000, 0.304858
53, 55.024000, 0.297761
54, 40.458000, 0.404963
55, 48.104000, 0.340595
56, 49.142000, 0.333401
57, 50.052000, 0.327340
58, 48.332000, 0.338989
59, 50.548000, 0.324128
60, 49.667000, 0.329877
61, 49.351000, 0.331989
62, 32.798000, 0.499543
63, 37.242000, 0.439933
64, 50.416000, 0.324976
65, 46.950000, 0.348967
66, 47.461000, 0.345210
67, 28.132000, 0.582397
68, 24.793000, 0.660832
69, 52.761000, 0.310532
70, 47.101000, 0.347848
71, 30.670000, 0.534203
72, 38.305000, 0.427725
73, 19.588000, 0.836430
74, 19.302000, 0.848824
75, 19.557000, 0.837756
76, 19.554000, 0.837885
77, 20.975000, 0.781120
78, 19.229000, 0.852046
79, 33.243000, 0.492856
80, 19.104000, 0.857621
81, 20.647000, 0.793529
82, 19.826000, 0.826390
83, 19.947000, 0.821377
84, 18.782000, 0.872325
85, 19.492000, 0.840550
86, 19.233000, 0.851869
87, 20.266000, 0.808448
88, 19.395000, 0.844754
89, 18.433000, 0.888841
90, 18.051000, 0.907651
91, 19.269000, 0.850278
92, 40.689000, 0.402664
93, 18.868000, 0.868349
94, 29.396000, 0.557355
95, 18.457000, 0.887685
96, 20.448000, 0.801252
97, 19.445000, 0.842582
98, 19.935000, 0.821871
99, 19.415000, 0.843884
