run, time in microseconds, throughput (GB/s)
0, 159.324000, 0.102834
1, 91.437000, 0.179183
2, 87.761000, 0.186689
3, 83.460000, 0.196310
4, 87.484000, 0.187280
5, 91.713000, 0.178644
6, 78.042000, 0.209938
7, 97.640000, 0.167800
8, 75.309000, 0.217557
9, 97.323000, 0.168347
10, 94.481000, 0.173411
11, 99.262000, 0.165058
12, 93.786000, 0.174696
13, 95.592000, 0.171395
14, 75.915000, 0.215820
15, 102.456000, 0.159913
16, 90.723000, 0.180594
17, 92.491000, 0.177142
18, 80.606000, 0.203260
19, 94.843000, 0.172749
20, 78.230000, 0.209434
21, 98.377000, 0.166543
22, 77.362000, 0.211784
23, 97.629000, 0.167819
24, 87.634000, 0.186959
25, 83.044000, 0.197293
26, 78.838000, 0.207819
27, 72.831000, 0.224959
28, 74.772000, 0.219119
29, 85.459000, 0.191718
30, 96.435000, 0.169897
31, 83.793000, 0.195529
32, 69.937000, 0.234268
33, 81.459000, 0.201132
34, 79.668000, 0.205653
35, 95.337000, 0.171854
36, 92.817000, 0.176519
37, 84.880000, 0.193025
38, 78.930000, 0.207576
39, 88.636000, 0.184846
40, 456.676000, 0.035877
41, 89.590000, 0.182878
42, 117.172000, 0.139829
43, 100.721000, 0.162667
44, 97.828000, 0.167478
45, 91.830000, 0.178417
46, 113.109000, 0.144851
47, 84.586000, 0.193696
48, 116.839000, 0.140227
49, 103.479000, 0.158332
50, 104.923000, 0.156153
51, 100.715000, 0.162677
52, 110.548000, 0.148207
53, 70.104000, 0.233710
54, 117.739000, 0.139155
55, 102.295000, 0.160164
56, 119.848000, 0.136706
57, 104.019000, 0.157510
58, 114.750000, 0.142780
59, 83.873000, 0.195343
60, 132.413000, 0.123734
61, 100.527000, 0.162981
62, 97.724000, 0.167656
63, 99.134000, 0.165271
64, 108.515000, 0.150984
65, 101.687000, 0.161122
66, 100.124000, 0.163637
67, 102.623000, 0.159652
68, 113.430000, 0.144442
69, 83.941000, 0.195185
70, 116.453000, 0.140692
71, 104.243000, 0.157171
72, 96.537000, 0.169717
73, 93.016000, 0.176142
74, 113.403000, 0.144476
75, 101.626000, 0.161219
76, 98.345000, 0.166597
77, 82.016000, 0.199766
78, 114.617000, 0.142946
79, 98.336000, 0.166612
80, 87.803000, 0.186600
81, 88.071000, 0.186032
82, 110.359000, 0.148461
83, 99.082000, 0.165358
84, 121.406000, 0.134952
85, 97.817000, 0.167496
86, 112.398000, 0.145768
87, 99.812000, 0.164149
88, 117.711000, 0.139188
89, 84.633000, 0.193589
90, 100.734000, 0.162646
91, 98.411000, 0.166485
92, 113.588000, 0.144241
93, 92.173000, 0.177753
94, 100.103000, 0.163671
95, 101.172000, 0.161942
96, 95.904000, 0.170838
97, 94.587000, 0.173216
98, 116.877000, 0.140182
99, 86.216000, 0.190034
