run, time in microseconds, throughput (GB/s)
0, 1726.084000, 1.214977
1, 1810.502000, 1.158326
2, 1747.642000, 1.199989
3, 1803.045000, 1.163117
4, 1794.230000, 1.168831
5, 1810.003000, 1.158646
6, 1798.265000, 1.166209
7, 1803.394000, 1.162892
8, 1809.297000, 1.159098
9, 1803.866000, 1.162587
10, 1724.241000, 1.216275
11, 1800.956000, 1.164466
12, 1794.416000, 1.168710
13, 1798.816000, 1.165851
14, 1770.358000, 1.184592
15, 1710.875000, 1.225777
16, 1797.515000, 1.166695
17, 1769.187000, 1.185376
18, 1773.828000, 1.182275
19, 1732.708000, 1.210332
20, 1789.328000, 1.172033
21, 1771.048000, 1.184131
22, 1730.037000, 1.212201
23, 1718.949000, 1.220020
24, 1811.432000, 1.157732
25, 1767.065000, 1.186800
26, 1756.092000, 1.194215
27, 1767.731000, 1.186352
28, 1785.836000, 1.174325
29, 1773.404000, 1.182557
30, 1769.470000, 1.185187
31, 1794.379000, 1.168734
32, 1795.573000, 1.167957
33, 1794.537000, 1.168631
34, 1768.433000, 1.185882
35, 1767.576000, 1.186456
36, 1768.943000, 1.185540
37, 1770.987000, 1.184171
38, 1767.057000, 1.186805
39, 1767.122000, 1.186761
40, 1814.672000, 1.155664
41, 1771.546000, 1.183798
42, 1780.737000, 1.177688
43, 1797.209000, 1.166894
44, 1772.439000, 1.183201
45, 1813.116000, 1.156656
46, 1782.194000, 1.176725
47, 1770.781000, 1.184309
48, 1766.581000, 1.187125
49, 1783.821000, 1.175652
50, 1799.464000, 1.165431
51, 1766.732000, 1.187023
52, 1775.693000, 1.181033
53, 1772.408000, 1.183222
54, 1780.423000, 1.177895
55, 1766.240000, 1.187354
56, 1769.778000, 1.184980
57, 1770.894000, 1.184234
58, 1769.936000, 1.184874
59, 1776.080000, 1.180776
60, 1789.858000, 1.171686
61, 1858.541000, 1.128386
62, 1808.041000, 1.159903
63, 1718.345000, 1.220449
64, 1844.805000, 1.136788
65, 1845.599000, 1.136299
66, 1787.589000, 1.173173
67, 1849.963000, 1.133618
68, 1836.184000, 1.142125
69, 1791.968000, 1.170307
70, 1852.038000, 1.132348
71, 1783.823000, 1.175650
72, 1785.347000, 1.174647
73, 1785.839000, 1.174323
74, 1862.108000, 1.126225
75, 1836.188000, 1.142123
76, 1788.792000, 1.172384
77, 1801.816000, 1.163910
78, 1773.536000, 1.182469
79, 1845.913000, 1.136106
80, 1847.206000, 1.135310
81, 1791.720000, 1.170469
82, 1838.247000, 1.140843
83, 1815.468000, 1.155158
84, 1808.237000, 1.159777
85, 1829.752000, 1.146140
86, 1847.455000, 1.135157
87, 1796.327000, 1.167467
88, 1809.332000, 1.159075
89, 1776.714000, 1.180354
90, 1711.613000, 1.225249
91, 1724.199000, 1.216305
92, 1709.621000, 1.226677
93, 1791.860000, 1.170377
94, 1704.794000, 1.230150
95, 1800.406000, 1.164822
96, 1811.022000, 1.157994
97, 1770.268000, 1.184652
98, 1808.644000, 1.159516
99, 1780.029000, 1.178156
