run, time in microseconds, throughput (GB/s)
0, 99.895000, 2.624195
1, 181.489000, 1.444407
2, 140.023000, 1.872150
3, 81.718000, 3.207910
4, 139.786000, 1.875324
5, 89.800000, 2.919198
6, 88.956000, 2.946895
7, 104.924000, 2.498418
8, 139.667000, 1.876922
9, 61.080000, 4.291814
10, 112.261000, 2.335130
11, 59.927000, 4.374389
12, 99.825000, 2.626036
13, 60.406000, 4.339701
14, 109.539000, 2.393157
15, 64.862000, 4.041565
16, 108.881000, 2.407619
17, 74.436000, 3.521737
18, 106.634000, 2.458353
19, 60.807000, 4.311083
20, 105.767000, 2.478505
21, 56.369000, 4.650499
22, 107.018000, 2.449532
23, 59.369000, 4.415503
24, 102.995000, 2.545211
25, 63.567000, 4.123901
26, 125.933000, 2.081615
27, 59.271000, 4.422804
28, 121.372000, 2.159839
29, 55.586000, 4.716008
30, 105.003000, 2.496538
31, 57.634000, 4.548426
32, 107.759000, 2.432688
33, 57.744000, 4.539762
34, 106.613000, 2.458837
35, 61.329000, 4.274389
36, 108.132000, 2.424296
37, 60.720000, 4.317260
38, 105.863000, 2.476257
39, 57.944000, 4.524092
40, 103.856000, 2.524110
41, 59.027000, 4.441086
42, 103.557000, 2.531398
43, 60.143000, 4.358678
44, 156.901000, 1.670761
45, 59.935000, 4.373805
46, 108.505000, 2.415962
47, 57.131000, 4.588472
48, 105.172000, 2.492527
49, 56.584000, 4.632829
50, 105.646000, 2.481343
51, 238.976000, 1.096947
52, 138.597000, 1.891412
53, 82.047000, 3.195047
54, 126.912000, 2.065557
55, 84.146000, 3.115347
56, 127.202000, 2.060848
57, 90.569000, 2.894412
58, 131.041000, 2.000473
59, 92.005000, 2.849236
60, 77.731000, 3.372451
61, 95.324000, 2.750031
62, 75.086000, 3.491250
63, 111.030000, 2.361020
64, 82.660000, 3.171353
65, 124.762000, 2.101153
66, 72.713000, 3.605188
67, 117.981000, 2.221917
68, 75.436000, 3.475052
69, 121.836000, 2.151614
70, 73.975000, 3.543684
71, 124.816000, 2.100244
72, 75.728000, 3.461652
73, 121.396000, 2.159412
74, 77.452000, 3.384599
75, 116.630000, 2.247655
76, 74.421000, 3.522447
77, 121.326000, 2.160658
78, 75.705000, 3.462704
79, 122.970000, 2.131772
80, 76.935000, 3.407344
81, 132.749000, 1.974734
82, 73.990000, 3.542965
83, 126.754000, 2.068132
84, 72.783000, 3.601720
85, 122.110000, 2.146786
86, 78.159000, 3.353984
87, 125.324000, 2.091730
88, 75.800000, 3.458364
89, 118.237000, 2.217106
90, 72.067000, 3.637504
91, 118.595000, 2.210414
92, 74.688000, 3.509854
93, 118.278000, 2.216338
94, 76.599000, 3.422290
95, 119.918000, 2.186027
96, 77.469000, 3.383857
97, 120.951000, 2.167357
98, 78.442000, 3.341883
99, 125.749000, 2.084661
