run, time in microseconds, throughput (GB/s)
0, 182.727000, 2.869242
1, 114.662000, 4.572465
2, 115.174000, 4.552139
3, 119.285000, 4.395255
4, 118.925000, 4.408560
5, 121.023000, 4.332135
6, 119.804000, 4.376214
7, 114.450000, 4.580935
8, 118.802000, 4.413124
9, 119.583000, 4.384302
10, 119.690000, 4.380383
11, 118.666000, 4.418182
12, 113.636000, 4.613749
13, 121.931000, 4.299875
14, 117.198000, 4.473523
15, 112.566000, 4.657605
16, 117.510000, 4.461646
17, 121.064000, 4.330668
18, 124.550000, 4.209458
19, 113.039000, 4.638116
20, 116.376000, 4.505121
21, 116.149000, 4.513926
22, 116.109000, 4.515481
23, 118.766000, 4.414462
24, 120.269000, 4.359295
25, 119.098000, 4.402156
26, 119.339000, 4.393266
27, 117.404000, 4.465674
28, 129.681000, 4.042905
29, 116.614000, 4.495927
30, 123.948000, 4.229903
31, 118.775000, 4.414128
32, 117.723000, 4.453573
33, 117.793000, 4.450927
34, 121.142000, 4.327880
35, 119.124000, 4.401195
36, 121.178000, 4.326594
37, 120.890000, 4.336901
38, 125.032000, 4.193231
39, 117.833000, 4.449416
40, 120.886000, 4.337045
41, 115.106000, 4.554828
42, 104.790000, 5.003225
43, 119.982000, 4.369722
44, 114.362000, 4.584460
45, 123.105000, 4.258868
46, 117.576000, 4.459141
47, 139.796000, 3.750379
48, 116.899000, 4.484966
49, 120.330000, 4.357085
50, 114.078000, 4.595873
51, 119.091000, 4.402415
52, 114.471000, 4.580095
53, 121.262000, 4.323597
54, 117.784000, 4.451267
55, 120.970000, 4.334033
56, 117.020000, 4.480328
57, 121.744000, 4.306479
58, 117.228000, 4.472379
59, 120.727000, 4.342757
60, 118.322000, 4.431027
61, 118.970000, 4.406892
62, 118.047000, 4.441350
63, 119.008000, 4.405485
64, 116.743000, 4.490959
65, 112.021000, 4.680265
66, 117.298000, 4.469710
67, 124.847000, 4.199444
68, 117.813000, 4.450171
69, 115.845000, 4.525772
70, 117.193000, 4.473714
71, 119.498000, 4.387421
72, 104.194000, 5.031844
73, 119.614000, 4.383166
74, 118.788000, 4.413644
75, 132.999000, 3.942045
76, 120.207000, 4.361543
77, 117.370000, 4.466968
78, 132.443000, 3.958594
79, 123.688000, 4.238794
80, 112.776000, 4.648932
81, 208.334000, 2.516574
82, 126.747000, 4.136492
83, 133.071000, 3.939912
84, 125.034000, 4.193163
85, 147.026000, 3.565954
86, 120.108000, 4.365138
87, 132.801000, 3.947922
88, 144.115000, 3.637984
89, 134.255000, 3.905166
90, 131.645000, 3.982590
91, 129.130000, 4.060156
92, 124.856000, 4.199141
93, 127.552000, 4.110386
94, 132.967000, 3.942993
95, 128.034000, 4.094912
96, 122.618000, 4.275783
97, 134.560000, 3.896314
98, 127.670000, 4.106587
99, 118.560000, 4.422132
