run, time in microseconds, throughput (GB/s)
0, 8801.955000, 0.953039
1, 8819.522000, 0.951141
2, 8819.974000, 0.951092
3, 8914.901000, 0.940965
4, 8857.575000, 0.947055
5, 8917.227000, 0.940719
6, 8918.550000, 0.940580
7, 8918.448000, 0.940591
8, 8919.226000, 0.940509
9, 8909.608000, 0.941524
10, 8863.072000, 0.946467
11, 8915.782000, 0.940872
12, 8834.148000, 0.949566
13, 8844.676000, 0.948436
14, 8830.778000, 0.949929
15, 8846.820000, 0.948206
16, 8829.044000, 0.950115
17, 8842.476000, 0.948672
18, 8834.045000, 0.949577
19, 8826.746000, 0.950362
20, 8835.655000, 0.949404
21, 8827.041000, 0.950331
22, 8829.263000, 0.950092
23, 8839.555000, 0.948985
24, 8825.052000, 0.950545
25, 8933.342000, 0.939022
26, 8835.923000, 0.949375
27, 8823.773000, 0.950683
28, 8849.053000, 0.947967
29, 8826.891000, 0.950347
30, 8824.170000, 0.950640
31, 8911.787000, 0.941294
32, 8866.245000, 0.946129
33, 8912.391000, 0.941230
34, 8866.890000, 0.946060
35, 8870.853000, 0.945637
36, 8837.004000, 0.949259
37, 8851.374000, 0.947718
38, 8881.495000, 0.944504
39, 8962.737000, 0.935943
40, 8831.837000, 0.949815
41, 8847.981000, 0.948082
42, 8929.838000, 0.939391
43, 8842.673000, 0.948651
44, 8909.337000, 0.941552
45, 8824.291000, 0.950627
46, 8858.566000, 0.946949
47, 8881.310000, 0.944524
48, 8918.739000, 0.940560
49, 8926.408000, 0.939752
50, 8886.122000, 0.944012
51, 8911.446000, 0.941330
52, 8917.845000, 0.940654
53, 8881.250000, 0.944530
54, 8860.181000, 0.946776
55, 8905.258000, 0.941984
56, 8919.616000, 0.940467
57, 8818.560000, 0.951245
58, 8880.038000, 0.944659
59, 8907.673000, 0.941728
60, 8871.909000, 0.945525
61, 8909.606000, 0.941524
62, 8882.825000, 0.944363
63, 8912.718000, 0.941195
64, 8904.835000, 0.942028
65, 8861.718000, 0.946612
66, 8925.353000, 0.939863
67, 8912.242000, 0.941246
68, 8905.230000, 0.941987
69, 8872.326000, 0.945480
70, 8935.599000, 0.938785
71, 8907.299000, 0.941768
72, 8842.150000, 0.948707
73, 8911.835000, 0.941289
74, 8865.514000, 0.946207
75, 8870.212000, 0.945705
76, 8910.731000, 0.941405
77, 8846.647000, 0.948225
78, 8906.970000, 0.941803
79, 8880.983000, 0.944559
80, 8800.205000, 0.953229
81, 8908.922000, 0.941596
82, 8917.288000, 0.940713
83, 8837.943000, 0.949158
84, 8866.990000, 0.946049
85, 8920.712000, 0.940352
86, 8877.448000, 0.944935
87, 8852.833000, 0.947562
88, 8849.566000, 0.947912
89, 8865.037000, 0.946258
90, 8858.344000, 0.946972
91, 8873.159000, 0.945391
92, 8921.443000, 0.940275
93, 8918.038000, 0.940634
94, 8925.820000, 0.939814
95, 8929.747000, 0.939400
96, 8911.826000, 0.941289
97, 8827.860000, 0.950243
98, 8845.741000, 0.948322
99, 8832.056000, 0.949791
