run, time in microseconds, throughput (GB/s)
0, 3504.000000, 0.149626
1, 3546.000000, 0.147853
2, 3516.000000, 0.149115
3, 3586.000000, 0.146204
4, 3620.000000, 0.144831
5, 3608.000000, 0.145313
6, 3621.000000, 0.144791
7, 3513.000000, 0.149242
8, 3517.000000, 0.149073
9, 3523.000000, 0.148819
10, 3619.000000, 0.144871
11, 3505.000000, 0.149583
12, 3545.000000, 0.147895
13, 3520.000000, 0.148945
14, 3520.000000, 0.148945
15, 3518.000000, 0.149030
16, 3521.000000, 0.148903
17, 3510.000000, 0.149370
18, 3521.000000, 0.148903
19, 3527.000000, 0.148650
20, 3630.000000, 0.144432
21, 3517.000000, 0.149073
22, 3520.000000, 0.148945
23, 3518.000000, 0.149030
24, 3572.000000, 0.146777
25, 3524.000000, 0.148776
26, 3631.000000, 0.144392
27, 3606.000000, 0.145393
28, 3602.000000, 0.145555
29, 3530.000000, 0.148524
30, 3628.000000, 0.144512
31, 3624.000000, 0.144671
32, 3502.000000, 0.149711
33, 3628.000000, 0.144512
34, 3576.000000, 0.146613
35, 3592.000000, 0.145960
36, 3525.000000, 0.148734
37, 3500.000000, 0.149797
38, 3520.000000, 0.148945
39, 3518.000000, 0.149030
40, 3627.000000, 0.144551
41, 3522.000000, 0.148861
42, 3614.000000, 0.145071
43, 3519.000000, 0.148988
44, 3518.000000, 0.149030
45, 3521.000000, 0.148903
46, 3522.000000, 0.148861
47, 3610.000000, 0.145232
48, 3508.000000, 0.149455
49, 3521.000000, 0.148903
50, 3518.000000, 0.149030
51, 3629.000000, 0.144472
52, 3519.000000, 0.148988
53, 3623.000000, 0.144711
54, 3520.000000, 0.148945
55, 3570.000000, 0.146859
56, 3630.000000, 0.144432
57, 3616.000000, 0.144991
58, 3507.000000, 0.149498
59, 3630.000000, 0.144432
60, 3630.000000, 0.144432
61, 3602.000000, 0.145555
62, 3507.000000, 0.149498
63, 3627.000000, 0.144551
64, 3625.000000, 0.144631
65, 3516.000000, 0.149115
66, 3522.000000, 0.148861
67, 3522.000000, 0.148861
68, 3513.000000, 0.149242
69, 3521.000000, 0.148903
70, 3579.000000, 0.146490
71, 3521.000000, 0.148903
72, 3518.000000, 0.149030
73, 3507.000000, 0.149498
74, 3533.000000, 0.148397
75, 3520.000000, 0.148945
76, 3526.000000, 0.148692
77, 3518.000000, 0.149030
78, 3508.000000, 0.149455
79, 3511.000000, 0.149327
80, 3631.000000, 0.144392
81, 3520.000000, 0.148945
82, 3517.000000, 0.149073
83, 3535.000000, 0.148313
84, 3627.000000, 0.144551
85, 3524.000000, 0.148776
86, 3629.000000, 0.144472
87, 3629.000000, 0.144472
88, 3510.000000, 0.149370
89, 3545.000000, 0.147895
90, 3520.000000, 0.148945
91, 3639.000000, 0.144075
92, 3501.000000, 0.149754
93, 3525.000000, 0.148734
94, 3520.000000, 0.148945
95, 3521.000000, 0.148903
96, 3614.000000, 0.145071
97, 3520.000000, 0.148945
98, 3599.000000, 0.145676
99, 3535.000000, 0.148313
