run, time in microseconds, throughput (GB/s)
0, 371.000000, 0.176647
1, 370.000000, 0.177124
2, 370.000000, 0.177124
3, 370.000000, 0.177124
4, 370.000000, 0.177124
5, 366.000000, 0.179060
6, 236.000000, 0.277695
7, 231.000000, 0.283706
8, 231.000000, 0.283706
9, 231.000000, 0.283706
10, 231.000000, 0.283706
11, 235.000000, 0.278877
12, 231.000000, 0.283706
13, 231.000000, 0.283706
14, 231.000000, 0.283706
15, 231.000000, 0.283706
16, 242.000000, 0.270810
17, 231.000000, 0.283706
18, 231.000000, 0.283706
19, 231.000000, 0.283706
20, 231.000000, 0.283706
21, 231.000000, 0.283706
22, 231.000000, 0.283706
23, 231.000000, 0.283706
24, 231.000000, 0.283706
25, 231.000000, 0.283706
26, 237.000000, 0.276523
27, 231.000000, 0.283706
28, 231.000000, 0.283706
29, 231.000000, 0.283706
30, 236.000000, 0.277695
31, 231.000000, 0.283706
32, 231.000000, 0.283706
33, 231.000000, 0.283706
34, 231.000000, 0.283706
35, 236.000000, 0.277695
36, 231.000000, 0.283706
37, 231.000000, 0.283706
38, 231.000000, 0.283706
39, 231.000000, 0.283706
40, 241.000000, 0.271934
41, 231.000000, 0.283706
42, 231.000000, 0.283706
43, 231.000000, 0.283706
44, 231.000000, 0.283706
45, 234.000000, 0.280068
46, 231.000000, 0.283706
47, 231.000000, 0.283706
48, 231.000000, 0.283706
49, 231.000000, 0.283706
50, 231.000000, 0.283706
51, 231.000000, 0.283706
52, 231.000000, 0.283706
53, 231.000000, 0.283706
54, 231.000000, 0.283706
55, 231.000000, 0.283706
56, 231.000000, 0.283706
57, 231.000000, 0.283706
58, 231.000000, 0.283706
59, 235.000000, 0.278877
60, 231.000000, 0.283706
61, 231.000000, 0.283706
62, 231.000000, 0.283706
63, 231.000000, 0.283706
64, 241.000000, 0.271934
65, 231.000000, 0.283706
66, 232.000000, 0.282483
67, 232.000000, 0.282483
68, 231.000000, 0.283706
69, 236.000000, 0.277695
70, 231.000000, 0.283706
71, 231.000000, 0.283706
72, 232.000000, 0.282483
73, 232.000000, 0.282483
74, 235.000000, 0.278877
75, 231.000000, 0.283706
76, 231.000000, 0.283706
77, 231.000000, 0.283706
78, 232.000000, 0.282483
79, 231.000000, 0.283706
80, 231.000000, 0.283706
81, 232.000000, 0.282483
82, 231.000000, 0.283706
83, 231.000000, 0.283706
84, 231.000000, 0.283706
85, 232.000000, 0.282483
86, 231.000000, 0.283706
87, 231.000000, 0.283706
88, 240.000000, 0.273067
89, 232.000000, 0.282483
90, 231.000000, 0.283706
91, 231.000000, 0.283706
92, 231.000000, 0.283706
93, 236.000000, 0.277695
94, 231.000000, 0.283706
95, 232.000000, 0.282483
96, 232.000000, 0.282483
97, 231.000000, 0.283706
98, 235.000000, 0.278877
99, 231.000000, 0.283706
