run, time in microseconds, throughput (GB/s)
0, 1870.000000, 0.280368
1, 1802.000000, 0.290948
2, 1721.000000, 0.304641
3, 1732.000000, 0.302707
4, 1741.000000, 0.301142
5, 1720.000000, 0.304819
6, 1739.000000, 0.301488
7, 1722.000000, 0.304465
8, 1722.000000, 0.304465
9, 1738.000000, 0.301662
10, 1720.000000, 0.304819
11, 1743.000000, 0.300796
12, 1718.000000, 0.305173
13, 1720.000000, 0.304819
14, 1740.000000, 0.301315
15, 1723.000000, 0.304288
16, 1739.000000, 0.301488
17, 1726.000000, 0.303759
18, 1724.000000, 0.304111
19, 1746.000000, 0.300279
20, 1719.000000, 0.304996
21, 1737.000000, 0.301835
22, 1733.000000, 0.302532
23, 1722.000000, 0.304465
24, 1740.000000, 0.301315
25, 1720.000000, 0.304819
26, 1727.000000, 0.303583
27, 1732.000000, 0.302707
28, 1723.000000, 0.304288
29, 1741.000000, 0.301142
30, 1723.000000, 0.304288
31, 1729.000000, 0.303232
32, 1743.000000, 0.300796
33, 1721.000000, 0.304641
34, 1739.000000, 0.301488
35, 1723.000000, 0.304288
36, 1720.000000, 0.304819
37, 1737.000000, 0.301835
38, 1723.000000, 0.304288
39, 1744.000000, 0.300624
40, 1724.000000, 0.304111
41, 1721.000000, 0.304641
42, 1741.000000, 0.301142
43, 1721.000000, 0.304641
44, 1738.000000, 0.301662
45, 1751.000000, 0.299422
46, 1720.000000, 0.304819
47, 1738.000000, 0.301662
48, 1722.000000, 0.304465
49, 1742.000000, 0.300969
50, 1719.000000, 0.304996
51, 1722.000000, 0.304465
52, 1746.000000, 0.300279
53, 1720.000000, 0.304819
54, 1778.000000, 0.294875
55, 1734.000000, 0.302358
56, 1724.000000, 0.304111
57, 1737.000000, 0.301835
58, 1724.000000, 0.304111
59, 1735.000000, 0.302183
60, 1754.000000, 0.298910
61, 1764.000000, 0.297215
62, 1742.000000, 0.300969
63, 1723.000000, 0.304288
64, 1724.000000, 0.304111
65, 1752.000000, 0.299251
66, 1725.000000, 0.303935
67, 1743.000000, 0.300796
68, 1720.000000, 0.304819
69, 1723.000000, 0.304288
70, 1740.000000, 0.301315
71, 1721.000000, 0.304641
72, 1736.000000, 0.302009
73, 1722.000000, 0.304465
74, 1719.000000, 0.304996
75, 1739.000000, 0.301488
76, 1749.000000, 0.299764
77, 1736.000000, 0.302009
78, 1721.000000, 0.304641
79, 1726.000000, 0.303759
80, 1743.000000, 0.300796
81, 1724.000000, 0.304111
82, 1740.000000, 0.301315
83, 1732.000000, 0.302707
84, 1723.000000, 0.304288
85, 1739.000000, 0.301488
86, 1722.000000, 0.304465
87, 1729.000000, 0.303232
88, 1732.000000, 0.302707
89, 1723.000000, 0.304288
90, 1739.000000, 0.301488
91, 1725.000000, 0.303935
92, 1732.000000, 0.302707
93, 1738.000000, 0.301662
94, 1724.000000, 0.304111
95, 1739.000000, 0.301488
96, 1720.000000, 0.304819
97, 1724.000000, 0.304111
98, 1741.000000, 0.301142
99, 1721.000000, 0.304641
