run, time in microseconds, throughput (GB/s)
0, 274.000000, 0.059796
1, 274.000000, 0.059796
2, 262.000000, 0.062534
3, 262.000000, 0.062534
4, 262.000000, 0.062534
5, 276.000000, 0.059362
6, 263.000000, 0.062297
7, 262.000000, 0.062534
8, 263.000000, 0.062297
9, 108.000000, 0.151704
10, 107.000000, 0.153121
11, 108.000000, 0.151704
12, 107.000000, 0.153121
13, 107.000000, 0.153121
14, 107.000000, 0.153121
15, 108.000000, 0.151704
16, 107.000000, 0.153121
17, 108.000000, 0.151704
18, 107.000000, 0.153121
19, 107.000000, 0.153121
20, 107.000000, 0.153121
21, 111.000000, 0.147604
22, 107.000000, 0.153121
23, 107.000000, 0.153121
24, 108.000000, 0.151704
25, 108.000000, 0.151704
26, 107.000000, 0.153121
27, 108.000000, 0.151704
28, 107.000000, 0.153121
29, 108.000000, 0.151704
30, 107.000000, 0.153121
31, 108.000000, 0.151704
32, 107.000000, 0.153121
33, 108.000000, 0.151704
34, 105.000000, 0.156038
35, 105.000000, 0.156038
36, 105.000000, 0.156038
37, 105.000000, 0.156038
38, 105.000000, 0.156038
39, 105.000000, 0.156038
40, 105.000000, 0.156038
41, 112.000000, 0.146286
42, 105.000000, 0.156038
43, 105.000000, 0.156038
44, 105.000000, 0.156038
45, 105.000000, 0.156038
46, 105.000000, 0.156038
47, 105.000000, 0.156038
48, 105.000000, 0.156038
49, 105.000000, 0.156038
50, 105.000000, 0.156038
51, 105.000000, 0.156038
52, 105.000000, 0.156038
53, 105.000000, 0.156038
54, 105.000000, 0.156038
55, 105.000000, 0.156038
56, 104.000000, 0.157538
57, 105.000000, 0.156038
58, 105.000000, 0.156038
59, 105.000000, 0.156038
60, 105.000000, 0.156038
61, 105.000000, 0.156038
62, 110.000000, 0.148945
63, 105.000000, 0.156038
64, 105.000000, 0.156038
65, 105.000000, 0.156038
66, 104.000000, 0.157538
67, 105.000000, 0.156038
68, 104.000000, 0.157538
69, 105.000000, 0.156038
70, 105.000000, 0.156038
71, 105.000000, 0.156038
72, 105.000000, 0.156038
73, 105.000000, 0.156038
74, 105.000000, 0.156038
75, 105.000000, 0.156038
76, 105.000000, 0.156038
77, 105.000000, 0.156038
78, 105.000000, 0.156038
79, 105.000000, 0.156038
80, 105.000000, 0.156038
81, 105.000000, 0.156038
82, 105.000000, 0.156038
83, 105.000000, 0.156038
84, 105.000000, 0.156038
85, 105.000000, 0.156038
86, 104.000000, 0.157538
87, 105.000000, 0.156038
88, 105.000000, 0.156038
89, 105.000000, 0.156038
90, 105.000000, 0.156038
91, 105.000000, 0.156038
92, 105.000000, 0.156038
93, 105.000000, 0.156038
94, 105.000000, 0.156038
95, 105.000000, 0.156038
96, 105.000000, 0.156038
97, 105.000000, 0.156038
98, 105.000000, 0.156038
99, 105.000000, 0.156038
