run, time in microseconds, throughput (GB/s)
0, 414.000000, 1.266396
1, 411.000000, 1.275640
2, 409.000000, 1.281878
3, 409.000000, 1.281878
4, 409.000000, 1.281878
5, 410.000000, 1.278751
6, 410.000000, 1.278751
7, 411.000000, 1.275640
8, 409.000000, 1.281878
9, 411.000000, 1.275640
10, 410.000000, 1.278751
11, 410.000000, 1.278751
12, 410.000000, 1.278751
13, 420.000000, 1.248305
14, 409.000000, 1.281878
15, 410.000000, 1.278751
16, 426.000000, 1.230723
17, 411.000000, 1.275640
18, 411.000000, 1.275640
19, 423.000000, 1.239452
20, 411.000000, 1.275640
21, 411.000000, 1.275640
22, 412.000000, 1.272544
23, 411.000000, 1.275640
24, 411.000000, 1.275640
25, 412.000000, 1.272544
26, 412.000000, 1.272544
27, 411.000000, 1.275640
28, 411.000000, 1.275640
29, 411.000000, 1.275640
30, 412.000000, 1.272544
31, 412.000000, 1.272544
32, 416.000000, 1.260308
33, 412.000000, 1.272544
34, 412.000000, 1.272544
35, 420.000000, 1.248305
36, 412.000000, 1.272544
37, 411.000000, 1.275640
38, 429.000000, 1.222117
39, 412.000000, 1.272544
40, 413.000000, 1.269462
41, 423.000000, 1.239452
42, 410.000000, 1.278751
43, 411.000000, 1.275640
44, 433.000000, 1.210827
45, 413.000000, 1.269462
46, 412.000000, 1.272544
47, 413.000000, 1.269462
48, 413.000000, 1.269462
49, 412.000000, 1.272544
50, 450.000000, 1.165084
51, 417.000000, 1.257285
52, 414.000000, 1.266396
53, 412.000000, 1.272544
54, 412.000000, 1.272544
55, 411.000000, 1.275640
56, 411.000000, 1.275640
57, 414.000000, 1.266396
58, 411.000000, 1.275640
59, 413.000000, 1.269462
60, 421.000000, 1.245340
61, 412.000000, 1.272544
62, 411.000000, 1.275640
63, 424.000000, 1.236528
64, 411.000000, 1.275640
65, 413.000000, 1.269462
66, 431.000000, 1.216445
67, 411.000000, 1.275640
68, 413.000000, 1.269462
69, 424.000000, 1.236528
70, 413.000000, 1.269462
71, 411.000000, 1.275640
72, 412.000000, 1.272544
73, 413.000000, 1.269462
74, 412.000000, 1.272544
75, 413.000000, 1.269462
76, 415.000000, 1.263345
77, 411.000000, 1.275640
78, 412.000000, 1.272544
79, 413.000000, 1.269462
80, 412.000000, 1.272544
81, 411.000000, 1.275640
82, 413.000000, 1.269462
83, 412.000000, 1.272544
84, 411.000000, 1.275640
85, 422.000000, 1.242389
86, 411.000000, 1.275640
87, 414.000000, 1.266396
88, 426.000000, 1.230723
89, 413.000000, 1.269462
90, 412.000000, 1.272544
91, 440.000000, 1.191564
92, 412.000000, 1.272544
93, 412.000000, 1.272544
94, 424.000000, 1.236528
95, 412.000000, 1.272544
96, 413.000000, 1.269462
97, 412.000000, 1.272544
98, 414.000000, 1.266396
99, 412.000000, 1.272544
