run, time in microseconds, throughput (GB/s)
0, 151.000000, 0.108503
1, 140.000000, 0.117029
2, 148.000000, 0.110703
3, 140.000000, 0.117029
4, 137.000000, 0.119591
5, 149.000000, 0.109960
6, 131.000000, 0.125069
7, 133.000000, 0.123188
8, 133.000000, 0.123188
9, 133.000000, 0.123188
10, 130.000000, 0.126031
11, 133.000000, 0.123188
12, 133.000000, 0.123188
13, 136.000000, 0.120471
14, 130.000000, 0.126031
15, 133.000000, 0.123188
16, 133.000000, 0.123188
17, 131.000000, 0.125069
18, 133.000000, 0.123188
19, 133.000000, 0.123188
20, 130.000000, 0.126031
21, 130.000000, 0.126031
22, 133.000000, 0.123188
23, 133.000000, 0.123188
24, 141.000000, 0.116199
25, 137.000000, 0.119591
26, 140.000000, 0.117029
27, 147.000000, 0.111456
28, 130.000000, 0.126031
29, 133.000000, 0.123188
30, 133.000000, 0.123188
31, 130.000000, 0.126031
32, 134.000000, 0.122269
33, 133.000000, 0.123188
34, 133.000000, 0.123188
35, 131.000000, 0.125069
36, 133.000000, 0.123188
37, 140.000000, 0.117029
38, 137.000000, 0.119591
39, 140.000000, 0.117029
40, 143.000000, 0.114573
41, 133.000000, 0.123188
42, 133.000000, 0.123188
43, 133.000000, 0.123188
44, 133.000000, 0.123188
45, 133.000000, 0.123188
46, 138.000000, 0.118725
47, 140.000000, 0.117029
48, 138.000000, 0.118725
49, 144.000000, 0.113778
50, 130.000000, 0.126031
51, 134.000000, 0.122269
52, 133.000000, 0.123188
53, 133.000000, 0.123188
54, 133.000000, 0.123188
55, 133.000000, 0.123188
56, 133.000000, 0.123188
57, 130.000000, 0.126031
58, 133.000000, 0.123188
59, 130.000000, 0.126031
60, 133.000000, 0.123188
61, 133.000000, 0.123188
62, 133.000000, 0.123188
63, 134.000000, 0.122269
64, 133.000000, 0.123188
65, 133.000000, 0.123188
66, 133.000000, 0.123188
67, 133.000000, 0.123188
68, 140.000000, 0.117029
69, 130.000000, 0.126031
70, 133.000000, 0.123188
71, 133.000000, 0.123188
72, 134.000000, 0.122269
73, 133.000000, 0.123188
74, 133.000000, 0.123188
75, 134.000000, 0.122269
76, 133.000000, 0.123188
77, 133.000000, 0.123188
78, 133.000000, 0.123188
79, 140.000000, 0.117029
80, 131.000000, 0.125069
81, 133.000000, 0.123188
82, 133.000000, 0.123188
83, 133.000000, 0.123188
84, 134.000000, 0.122269
85, 133.000000, 0.123188
86, 133.000000, 0.123188
87, 132.000000, 0.124121
88, 133.000000, 0.123188
89, 130.000000, 0.126031
90, 133.000000, 0.123188
91, 136.000000, 0.120471
92, 133.000000, 0.123188
93, 137.000000, 0.119591
94, 140.000000, 0.117029
95, 140.000000, 0.117029
96, 130.000000, 0.126031
97, 133.000000, 0.123188
98, 133.000000, 0.123188
99, 133.000000, 0.123188
