Scheme, CLB LUT, CLB LUT (%), BRAM, BRAM (%), DSP, DSP (%)
AES_256_GCM_encrypt, 142984, 8.28, 176.5, 6.57, 7, 0.06
AES_256_GCM_decrypt, 142945, 8.28, 176.5, 6.57, 7, 0.06
AES_128_GCM_encrypt, 139054, 8.06, 176.5, 6.57, 7, 0.06
AES_128_GCM_decrypt, 139142, 8.06, 176.5, 6.57, 7, 0.06
AES_128_CCM_16_encrypt, 130819, 7.58, 176.5, 6.57, 7, 0.06
AES_128_CCM_16_decrypt, 130821, 7.58, 176.5, 6.57, 7, 0.06
AES_128_CCM_12_encrypt, 129352, 7.49, 176.5, 6.57, 7, 0.06
AES_128_CCM_12_decrypt, 129342, 7.49, 176.5, 6.57, 7, 0.06
AES_128_CCM_8_encrpyt, 129183, 7.48, 176.5, 6.57, 7, 0.06
AES_128_CCM_8_decrypt, 129223, 7.49, 176.5, 6.57, 7, 0.06
